,0,1,2,3
423,1.0,0.0,42.0,10.0
424,1.0,0.0,42.0,13.0
425,1.0,0.0,42.0,16.0
426,1.0,0.0,42.0,19.0
427,1.0,0.0,42.0,22.0
428,1.0,0.0,42.0,25.0
429,1.0,0.0,42.0,28.0
430,1.0,0.0,43.0,1.0
431,1.0,0.0,43.0,4.0
432,1.0,0.0,43.0,7.0
433,1.0,0.0,43.0,10.0
434,1.0,0.0,43.0,13.0
435,1.0,0.0,43.0,16.0
436,1.0,0.0,43.0,19.0
437,1.0,0.0,43.0,22.0
438,1.0,0.0,43.0,25.0
439,1.0,0.0,43.0,28.0
440,1.0,0.0,44.0,1.0
441,1.0,0.0,44.0,4.0
442,1.0,0.0,44.0,7.0
443,1.0,0.0,44.0,10.0
444,1.0,0.0,44.0,13.0
445,1.0,0.0,44.0,16.0
446,1.0,0.0,44.0,19.0
447,1.0,0.0,44.0,22.0
448,1.0,0.0,44.0,25.0
449,1.0,0.0,44.0,28.0
450,1.0,0.0,45.0,1.0
451,1.0,0.0,45.0,4.0
452,1.0,0.0,45.0,7.0
453,1.0,0.0,45.0,10.0
454,1.0,0.0,45.0,13.0
455,1.0,0.0,45.0,16.0
456,1.0,0.0,45.0,19.0
457,1.0,0.0,45.0,22.0
458,1.0,0.0,45.0,25.0
459,1.0,0.0,45.0,28.0
460,1.0,0.0,46.0,1.0
461,1.0,0.0,46.0,4.0
462,1.0,0.0,46.0,7.0
463,1.0,0.0,46.0,10.0
464,1.0,0.0,46.0,13.0
465,1.0,0.0,46.0,16.0
466,1.0,0.0,46.0,19.0
467,1.0,0.0,46.0,22.0
468,1.0,0.0,46.0,25.0
469,1.0,0.0,46.0,28.0
470,1.0,0.0,47.0,1.0
471,1.0,0.0,47.0,4.0
472,1.0,0.0,47.0,7.0
473,1.0,0.0,47.0,10.0
474,1.0,0.0,47.0,13.0
475,1.0,0.0,47.0,16.0
476,1.0,0.0,47.0,19.0
477,1.0,0.0,47.0,22.0
478,1.0,0.0,47.0,25.0
479,1.0,0.0,47.0,28.0
480,1.0,0.0,48.0,1.0
481,1.0,0.0,48.0,4.0
482,1.0,0.0,48.0,7.0
483,1.0,0.0,48.0,10.0
484,1.0,0.0,48.0,13.0
485,1.0,0.0,48.0,16.0
